採樣分區,縣市,測站名稱,採樣日期,測站編號,水面至井口深度,水溫,導電度,酸鹼值,溶氧(電極法),溶氧飽和度,總硬度,總溶解固體物,氯鹽,氨氮,硝酸鹽氮,硫酸鹽,總有機碳,砷,鎘,鉻,銅,鉛,鋅,鐵,錳,汞,鎳,總酚,氟鹽,鈉,鉀,鈣,鎂,總鹼度,苯,甲苯,乙苯,二甲苯,naphthalene,四氯化碳,氯苯,氯仿,氯甲烷,1，4—二氯苯,1，1—二氯乙烷,1，2—二氯乙烷,1，1—二氯乙烯,順1，2—二氯乙烯,反1，2—二氯乙烯,三氯乙烯,四氯乙烯,氯乙烯,二氯甲烷,1，1，2—三氯乙烷,1，1，1—三氯乙烷,1，2-二氯苯,甲基第三丁基醚,備註
,,,,,m,℃,μmho/cm25℃,　,mg/L,%,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
臺中地區,南投縣,北港國小,2019/4/26 上午 09:43:00,4157,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
臺中地區,南投縣,北港國小,2019/4/18 上午 09:32:00,4157,5.743,25.4,251,6.21,2.5,--,85.8,164,2.9,0.15,0.82,42.6,0.85,<0.0003,<0.001,<0.001,<0.001,<0.003,0.011,0.029,0.005,<0.0003,<0.005,<0.0060,<0.10,12.7,4.39,19.9,7.68,49.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,北港國小,2019/1/14 上午 09:32:00,4157,5.846,24.7,228,6.18,2.6,--,72.0,146,3.8,0.11,1.40,45.6,0.29,<0.0003,<0.001,<0.001,<0.001,<0.003,0.007,0.042,0.006,--,--,<0.0060,<0.10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,平林國小深層,2019/10/9 下午 02:29:00,4158,5.413,26.5,636,7.83,0.5,--,183,403,3.0,2.35,0.02,129,0.44,0.0004,<0.001,<0.001,<0.001,<0.003,0.008,0.097,0.108,--,--,0.0081,<0.10,67.5,3.04,66.4,6.18,186,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,平林國小深層,2019/7/11 下午 03:32:00,4158,4.824,26.0,634,7.84,0.1,--,188,406,1.9,1.77,<0.01,43.7,0.57,0.0004,<0.001,<0.001,0.001,<0.003,0.009,0.062,0.113,--,--,0.0079,<0.10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,平林國小深層,2019/4/26 上午 11:53:00,4158,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
臺中地區,南投縣,平林國小深層,2019/4/11 上午 09:50:00,4158,7.416,26.6,638,7.79,1.0,--,171,402,2.0,2.10,0.04,121,0.50,0.0004,<0.001,<0.001,0.002,<0.003,0.012,0.060,0.092,<0.0003,<0.005,<0.0060,<0.10,41.6,2.60,64.7,6.12,189,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,平林國小深層,2019/1/14 下午 02:50:00,4158,7.517,26.2,636,7.74,0.1,--,171,389,6.6,1.91,3.91,102,0.92,0.0008,<0.001,<0.001,<0.001,<0.003,0.009,0.080,0.042,--,--,<0.0060,<0.10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,草屯國小,2019/10/9 下午 01:41:00,4159,38.783,26.6,435,6.59,4.7,--,148,270,10.3,0.12,2.37,58.9,0.29,<0.0003,<0.001,<0.001,0.001,<0.003,0.023,0.019,<0.005,--,--,<0.0060,0.13,21.6,3.00,40.1,14.9,111,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,草屯國小,2019/7/12 下午 04:01:00,4159,38.900,26.3,398,6.63,4.9,--,171,316,3.9,0.12,0.89,49.7,0.50,0.0003,<0.001,0.001,0.002,<0.003,0.047,0.050,0.009,--,--,<0.0060,0.11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,草屯國小,2019/4/26 下午 02:23:00,4159,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
臺中地區,南投縣,草屯國小,2019/4/18 下午 01:43:00,4159,42.015,26.0,416,6.61,4.2,--,153,264,10.5,0.13,2.86,55.2,0.43,<0.0003,<0.001,<0.001,0.001,<0.003,0.015,0.027,<0.005,<0.0003,<0.005,<0.0060,0.13,21.7,3.86,39.9,12.6,112,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,草屯國小,2019/1/14 下午 02:00:00,4159,42.284,25.5,413,6.60,4.3,--,164,282,11.3,0.10,3.71,59.0,0.63,<0.0003,<0.001,<0.001,0.001,<0.003,0.012,0.017,<0.005,--,--,<0.0060,0.16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,明潭國中,2019/10/29 上午 11:51:00,4160,0.265,26.3,194,5.87,1.8,--,26.9,138,<1.5,7.80,0.01,4.9,8.36,0.0071,<0.001,<0.001,<0.001,<0.003,0.005,19.8,0.245,--,--,<0.0060,<0.10,12.8,2.02,5.75,2.75,85.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,明潭國中,2019/7/10 上午 11:38:00,4160,0.145,24.6,198,5.91,2.3,--,50.1,128,2.2,3.00,<0.01,4.4,6.04,0.0084,<0.001,<0.001,<0.001,<0.003,0.006,17.9,0.308,--,--,<0.0060,<0.10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,明潭國中,2019/4/29 上午 10:53:00,4160,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
臺中地區,南投縣,明潭國中,2019/4/10 上午 11:42:00,4160,1.333,25.0,192,5.79,0.2,--,32.1,129,<1.5,3.11,<0.01,3.9,9.78,<0.0003,<0.001,<0.001,<0.001,<0.003,0.007,15.3,0.229,<0.0003,0.120,<0.0060,<0.10,13.4,2.18,6.74,3.18,89.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,明潭國中,2019/1/11 上午 11:37:00,4160,0.568,22.5,191,5.83,0.3,--,30.0,134,3.8,3.24,<0.01,5.4,5.82,0.0051,<0.001,<0.001,0.002,<0.003,0.014,15.3,0.295,--,--,<0.0060,<0.10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,延平國小深層,2019/10/22 下午 12:05:00,4161,12.203,26.3,539,7.01,0.2,--,250,364,9.5,0.07,0.83,41.5,0.40,0.0037,<0.001,<0.001,<0.001,<0.003,0.006,0.012,0.011,--,--,<0.0060,<0.10,11.5,1.03,83.0,9.94,221,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,延平國小深層,2019/7/10 下午 12:54:00,4161,11.523,26.2,548,6.90,1.0,--,219,339,10.8,0.08,0.52,41.8,0.68,0.0039,<0.001,<0.001,<0.001,<0.003,0.007,0.017,0.015,--,--,0.0102,0.11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,延平國小深層,2019/4/29 上午 11:39:00,4161,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
臺中地區,南投縣,延平國小深層,2019/4/12 上午 11:36:00,4161,13.389,26.7,585,7.07,1.3,--,272,396,8.9,0.08,0.12,45.3,0.61,0.0048,<0.001,<0.001,<0.001,<0.003,0.009,0.017,0.087,<0.0003,0.006,0.0109,0.11,12.8,0.911,95.7,9.53,252,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,延平國小深層,2019/1/11 下午 12:20:00,4161,13.703,25.5,560,7.24,0.1,--,272,347,8.6,0.10,0.47,45.8,0.80,0.0015,<0.001,<0.001,<0.001,<0.003,0.011,0.311,0.237,--,--,<0.0060,0.12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,中寮國小深層,2019/10/24 下午 02:32:00,4162,2.463,28.8,823,8.67,0.2,--,6.0,548,<1.5,2.07,<0.01,<1.0,2.17,0.0293,<0.001,<0.001,0.003,<0.003,<0.002,0.037,0.007,--,--,0.0168,0.28,198,2.79,1.53,0.514,429,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,中寮國小深層,2019/7/11 下午 12:38:00,4162,2.000,26.5,820,8.71,0.3,--,7.0,500,<1.5,1.55,<0.01,1.4,2.69,0.0342,<0.001,<0.001,0.004,<0.003,0.005,0.088,0.006,--,--,<0.0060,0.30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,中寮國小深層,2019/4/26 下午 02:17:00,4162,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
臺中地區,南投縣,中寮國小深層,2019/4/11 下午 02:40:00,4162,2.449,29.0,804,8.69,0.9,--,10.0,518,<1.5,2.03,0.02,2.5,2.94,0.0253,<0.001,0.007,0.004,<0.003,0.007,0.474,0.017,<0.0003,0.009,0.0164,0.31,189,2.35,2.64,0.869,442,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,中寮國小深層,2019/1/14 下午 12:27:00,4162,2.612,27.7,812,8.67,0.1,--,10.0,503,2.8,1.60,<0.01,1.8,2.54,0.0094,<0.001,0.003,0.004,<0.003,0.004,0.126,0.021,--,--,<0.0060,0.26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,水里國中,2019/10/16 下午 03:07:00,4163,14.203,26.4,408,6.63,2.9,--,171,254,9.5,0.14,3.60,69.4,0.71,<0.0003,<0.001,<0.001,<0.001,<0.003,0.007,0.010,<0.005,--,--,<0.0060,<0.10,17.2,2.22,44.0,17.6,105,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,水里國中,2019/7/10 下午 02:49:00,4163,13.095,26.6,406,6.67,2.5,--,156,315,9.5,0.08,0.76,65.1,0.33,0.0023,<0.001,<0.001,<0.001,<0.003,0.008,0.031,<0.005,--,--,<0.0060,0.11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,水里國中,2019/4/29 下午 02:03:00,4163,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
臺中地區,南投縣,水里國中,2019/4/10 下午 02:36:00,4163,14.615,25.8,379,6.64,2.2,--,161,256,5.5,0.16,2.71,63.2,0.45,<0.0003,<0.001,<0.001,<0.001,<0.003,0.009,0.011,<0.005,<0.0003,<0.005,<0.0060,0.11,12.6,1.90,41.2,15.9,104,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,水里國中,2019/1/11 下午 02:21:00,4163,15.052,25.3,384,6.62,2.4,--,158,239,5.3,0.25,1.69,69.6,0.81,<0.0003,<0.001,<0.001,0.001,<0.003,0.005,0.040,<0.005,--,--,<0.0060,0.13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,臺中市,后里區太平托兒所(103年設),2019/10/18 上午 10:03:00,4164,15.610,25.5,430,6.42,4.1,--,187,270,6.8,0.08,3.02,83.6,0.98,<0.0003,<0.001,0.001,<0.001,<0.003,0.006,0.015,<0.005,--,--,<0.0060,<0.10,11.0,2.93,52.1,15.1,122,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,臺中市,后里區太平托兒所(103年設),2019/7/11 下午 12:03:00,4164,17.586,25.8,414,6.40,4.8,--,194,321,7.3,0.29,0.74,92.8,0.55,0.0003,<0.001,<0.001,<0.001,<0.003,0.008,0.048,<0.005,--,--,0.0098,<0.10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,臺中市,后里區太平托兒所(103年設),2019/4/25 上午 09:32:00,4164,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
臺中地區,臺中市,后里區太平托兒所(103年設),2019/4/9 下午 03:49:00,4164,24.585,25.9,426,6.36,4.4,--,202,320,6.2,0.08,1.02,102,0.45,<0.0003,<0.001,0.002,<0.001,<0.003,0.014,0.034,<0.005,<0.0003,<0.005,0.0064,0.10,8.25,2.17,61.8,13.5,97.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,臺中市,后里區太平托兒所(103年設),2019/1/11 上午 11:56:00,4164,23.199,25.3,448,6.39,4.0,--,207,281,7.5,0.06,2.39,111,0.87,<0.0003,<0.001,0.001,<0.001,<0.003,0.008,0.023,<0.005,--,--,<0.0060,0.11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,嘉義縣,水公司義竹營運所(104年設),2019/10/28 下午 03:39:00,4165,2.290,28.5,878,6.76,1.5,--,438,555,7.3,<0.01,0.08,120,1.00,0.0020,<0.001,<0.001,<0.001,<0.003,0.002,0.053,0.322,--,--,<0.006,0.36,23.8,1.29,139,29.7,347,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,嘉義縣,水公司義竹營運所(104年設),2019/7/4 下午 02:42:00,4165,1.158,29.3,730,7.00,0.6,--,327,419,9.6,0.04,0.11,79.8,0.57,0.0024,<0.001,<0.001,<0.001,<0.003,0.002,0.053,0.562,--,--,<0.006,0.48,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,嘉義縣,水公司義竹營運所(104年設),2019/4/24 上午 10:12:00,4165,3.558,28.8,803,6.78,1.4,--,393,542,8.3,0.09,0.02,77.4,0.61,0.0017,<0.001,<0.001,<0.001,<0.003,<0.002,0.044,0.988,<0.0003,<0.005,<0.006,0.51,22.4,0.723,120,23.5,354,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,嘉義縣,水公司義竹營運所(104年設),2019/3/29 下午 02:35:00,4165,--,--,--,--,1.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
嘉南平原,嘉義縣,水公司義竹營運所(104年設),2019/1/11 下午 02:45:00,4165,3.180,29.5,725,6.94,1.5,--,338,438,9.9,0.02,<0.01,72.1,0.95,0.0023,<0.001,<0.001,<0.001,<0.003,<0.002,0.316,0.437,--,--,<0.006,0.51,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
桃園中壢臺地,桃園市,南崁高中(原為南崁國小)(105年設),2019/10/15 上午 11:15:00,4166,2.591,28.4,636,6.36,0.4,--,206,348,45.1,1.39,<0.01,48.0,2.14,0.0102,<0.001,<0.001,<0.001,<0.003,0.041,17.0,1.17,--,--,<0.0060,0.18,39.1,9.05,71.3,10.3,186,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
桃園中壢臺地,桃園市,南崁高中(原為南崁國小)(105年設),2019/8/22 上午 09:14:00,4166,2.575,27.6,691,6.51,0.3,--,220,371,54.2,1.28,<0.01,62.7,2.21,0.0100,<0.001,<0.001,<0.001,0.004,0.021,14.8,1.16,--,--,<0.0060,0.18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
桃園中壢臺地,桃園市,南崁高中(原為南崁國小)(105年設),2019/5/17 上午 09:13:00,4166,2.383,25.5,635,6.63,0.1,--,192,314,46.9,1.19,0.01,54.1,2.12,0.0097,<0.001,<0.001,<0.001,<0.003,0.036,12.7,1.01,<0.0003,<0.005,<0.0060,0.17,38.1,7.75,61.6,9.27,159,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
桃園中壢臺地,桃園市,南崁高中(原為南崁國小)(105年設),2019/4/22 上午 09:22:00,4166,--,--,--,--,2.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
桃園中壢臺地,桃園市,南崁高中(原為南崁國小)(105年設),2019/2/22 上午 09:08:00,4166,2.573,25.4,590,6.61,0.3,--,184,350,46.4,1.17,<0.01,53.0,2.08,0.0096,<0.001,<0.001,<0.001,<0.003,0.025,13.4,0.912,--,--,<0.0060,0.20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
蘭陽平原,宜蘭縣,內城社區,2019/11/1 上午 07:55:00,4167,1.683,23.0,226,6.96,4.0,--,102,164,3.5,<0.01,0.93,16.8,0.26,<0.0003,<0.001,<0.001,<0.001,<0.003,0.002,0.030,<0.005,--,--,<0.0060,0.10,5.49,0.913,29.1,8.33,92.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
蘭陽平原,宜蘭縣,內城社區,2019/8/14 上午 07:52:00,4167,3.627,23.3,218,6.86,4.4,--,92.9,125,3.4,0.02,0.89,20.4,0.18,<0.0003,<0.001,<0.001,<0.001,<0.003,0.003,0.024,<0.005,--,--,<0.0060,<0.10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
蘭陽平原,宜蘭縣,內城社區,2019/5/27 上午 11:59:00,4167,2.927,22.1,227,6.97,4.6,--,107,169,5.3,0.01,0.97,22.3,0.15,<0.0003,<0.001,0.004,<0.001,<0.003,0.014,0.015,<0.005,<0.0003,<0.005,<0.0060,<0.10,5.02,0.949,25.9,7.78,81.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
蘭陽平原,宜蘭縣,內城社區,2019/4/22 下午 01:52:00,4167,--,--,--,--,3.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
蘭陽平原,宜蘭縣,內城社區,2019/2/26 上午 07:45:00,4167,2.526,22.0,225,6.94,4.0,--,103,127,5.8,<0.01,0.96,21.7,<0.10,<0.0003,<0.001,0.002,<0.001,<0.003,0.003,0.014,<0.005,--,--,<0.0060,0.15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,苗栗縣,中興國小(苗栗縣104年設),2019/10/16 下午 02:13:00,4201,6.260,25.2,501,6.89,4.2,--,204,340,8.9,0.02,2.15,53.5,0.82,<0.0003,<0.001,<0.001,<0.001,<0.003,0.006,0.037,<0.005,--,--,<0.0060,0.11,25.3,3.65,55.1,14.5,173,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,苗栗縣,中興國小(苗栗縣104年設),2019/7/11 上午 09:38:00,4201,6.696,24.9,515,6.94,4.7,--,218,368,9.5,0.03,0.72,60.4,0.43,<0.0003,<0.001,<0.001,<0.001,<0.003,0.005,0.023,<0.005,--,--,<0.0060,0.12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,苗栗縣,中興國小(苗栗縣104年設),2019/4/24 上午 11:31:00,4201,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
新苗地區,苗栗縣,中興國小(苗栗縣104年設),2019/4/9 下午 01:38:00,4201,6.634,25.5,517,6.92,4.5,--,219,336,10.5,0.12,0.86,61.1,0.50,<0.0003,<0.001,<0.001,0.002,<0.003,0.014,0.045,<0.005,<0.0003,<0.005,<0.0060,0.16,21.8,4.18,60.0,17.3,179,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,苗栗縣,中興國小(苗栗縣104年設),2019/1/11 上午 09:41:00,4201,7.998,25.0,491,6.85,3.8,--,214,298,8.6,0.04,2.01,61.4,0.76,<0.0003,<0.001,<0.001,0.001,<0.003,0.006,0.060,<0.005,--,--,<0.0060,0.14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,臺中市,大雅國小(103年設),2019/10/18 下午 12:36:00,4202,10.202,25.6,364,6.37,0.3,--,137,230,17.5,1.42,2.36,24.4,1.18,<0.0003,<0.001,<0.001,<0.001,<0.003,0.004,0.060,0.060,--,--,<0.0060,<0.10,13.1,4.43,37.8,8.46,118,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,臺中市,大雅國小(103年設),2019/7/11 下午 02:57:00,4202,14.453,25.8,420,6.19,1.1,--,150,280,30.2,0.14,0.34,44.5,0.81,<0.0003,<0.001,<0.001,<0.001,<0.003,0.005,0.024,0.030,--,--,0.0060,0.14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,臺中市,大雅國小(103年設),2019/4/25 下午 03:52:00,4202,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
臺中地區,臺中市,大雅國小(103年設),2019/4/3 下午 05:19:00,4202,19.667,25.6,445,6.23,2.1,--,178,282,17.8,1.02,2.23,32.7,0.63,<0.0003,<0.001,0.002,<0.001,<0.003,0.009,0.039,<0.005,<0.0003,0.005,<0.0060,0.16,18.1,4.27,50.9,9.89,139,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,臺中市,大雅國小(103年設),2019/1/11 下午 02:56:00,4202,17.901,25.9,412,6.26,0.4,--,148,266,16.8,0.76,3.88,34.7,1.10,<0.0003,<0.001,<0.001,0.001,<0.003,0.007,0.069,<0.005,--,--,<0.0060,0.12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,高雄市,福誠高中(原為福誠國中),2019/11/2 下午 02:50:00,4203,3.873,29.6,1010,7.16,2.3,--,345,571,86.1,2.78,0.02,90.2,1.92,0.0051,<0.001,<0.001,0.001,<0.003,<0.002,2.46,0.432,--,--,0.0085,0.58,56.4,4.84,105,23.1,288,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,高雄市,福誠高中(原為福誠國中),2019/4/12 下午 01:07:00,4203,3.788,29.5,982,7.19,3.3,--,341,584,92.1,3.37,0.04,91.2,1.65,0.0035,<0.001,<0.001,<0.001,<0.003,<0.002,2.63,0.280,<0.0003,<0.005,<0.006,0.53,71.2,5.40,98.7,22.3,287,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
